model,cv_accuracy_mean,cv_accuracy_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,fit_seconds
lightgbm_default,0.9664176785207278,0.0015472375782512612,0.9764812302125735,0.9823284823284824,0.9642857142857143,0.9732234809474768,0.996422354482004,0.7577341999858618
random_forest,0.9698101286868619,0.002220066577633563,0.9764812302125735,0.9803312629399586,0.9663265306122449,0.9732785200411099,0.9965591273064871,1.0523470000480302
svm_rbf,0.9622344602492909,0.0031023961140688276,0.9751243781094527,0.9782833505687694,0.9653061224489796,0.9717514124293786,0.9868051526053151,19.321663999988232
mlp,0.9586155099514257,0.003829958008790678,0.9719583898688376,0.9882978723404255,0.9479591836734694,0.9677083333333333,0.9950902700641588,1.6490226999740116
xgboost,0.9582767189582272,0.002005043068491621,0.968340117593849,0.9700413223140496,0.9581632653061225,0.9640657084188912,0.9951880833568195,1.2133453999995254
lightgbm,0.9495701485359984,0.003775988739426908,0.9579375848032564,0.9693121693121693,0.9346938775510204,0.9516883116883117,0.9894838276496626,30.81773010001052
logistic,0.9282000977109547,0.004257232350333023,0.9280868385345997,0.9343915343915344,0.9010204081632653,0.9174025974025974,0.9785034566222915,0.020673200022429228
svm_linear,0.9249212812924448,0.005421108479885142,0.9253731343283582,0.933972310969116,0.8948979591836734,0.9140177175612298,0.9770743878379947,2.764054900035262
